Question,Correct Answer,Correct Index,Option A,Option B,Option C,Option D
"In a few minutes of time, skill and luck met over the waters of the Pacific in June 1942. American SBD Dauntless dive bombers from the USS Yorktown and Enterprise struck three Japanese carriers and put them out of action. In what decisive battle did the Japanese lose the carriers Kaga, Soryu, Akagi and the Hiryu?",Battle of Midway,1,Battle of Midway,Doolittle Raid,Battle of Wake Island,Battle of the Coral Sea
Who won the 1998 Grammy Award for Record of the Year?,Sunny Came Home by Shawn Colvin,1,Sunny Came Home by Shawn Colvin,I Believe I Can Fly by R. Kelly,MMMBop by Hanson,Everyday Is a Winding Road by Sheryl Crow
"Actress and singer Olivia Newton-John is the granddaughter of Max Born, who won a Nobel Prize in what category?",The Nobel Prize in Physics,2,The Nobel Prize in Music and Arts,The Nobel Prize in Physics,The Nobel Prize in Literature,The Nobel Prize in Mathematics
"At the end of the movie Point Break, Bodhis buddy, Rosie, holds Lori Pettys character hostage. Bodhi describes eloquently Rosies ability to inflict pain by saying: Rosie, hes like a mechanism. Hes got this gift of ..........................",...blankness.,4,...perversity.,...insanity.,...being emotionless.,...blankness.
NASA selected this astronaut to command the first Columbia flight.  He was a veteran of two Gemini and two Apollo missions and considered to be NASAs most experienced astronaut at the time.,John Young,1,John Young,Byron Lichtenberg,John Glenn,Bob Crippen
The song   The Warrior was a big hit for which group in 1984?,Scandal,1,Scandal,Ratt,Ollie and Jerry,Spandau Ballet
What is the name of the guy B-Rabbits mother is dating in the movie 8 Mile?,Greg Bhuel,2,DJ Iz,Greg Bhuel,Future,Cheddar Bob
In what year did Attack of the Giant Leeches hit the movie screens?,1959,2,1955,1959,1953,1952
"This artist scored it big with I Love the Nightlife (Disco Round) in 1978. She was unable to follow it up with similar chart success, but the song remains a disco anthem.",Alicia Bridges,3,Gloria Gaynor,Bonnie Tyler,Alicia Bridges,Thelma Houston
"This movie, produced by Judd Apatow, was written by two of its actors - Seth Rogen and Evan Goldberg when they were 13 years old.",Superbad,3,Kicking and Screaming,Fun with Dick and Jane,Superbad,Knocked Up
What 1995 Michael Jackson song was first to ever debut at number one on the Billboard Hot 100?,You Are Not Alone,4,They Dont Care About Us,Earth Song,Scream,You Are Not Alone
"What was the name of Emmett Kellys son, who also played a character named Weary Willie?",Emmett Kelly Jr.,3,William Kelly,Red Skelton,Emmett Kelly Jr.,Red Kelly
What is Chunks real name in the movie The Goonies?,Lawrence,1,Lawrence,Bobby,Clark,Chuck
What is the only socialist country to join the Eurovision Song Contest during the Cold War?,Yugoslavia,2,Romania,Yugoslavia,USSR,Czechoslovakia
Who recorded the 2001 patriotic song Lets Roll about Flight 93?,Neil Young,4,Charlie Daniels,Tom Petty,Bruce Springsteen,Neil Young
The roles of Mildred Ratched and Randle P. McMurphy earned Oscars for the starring actors in this movie.,One Flew over the Cuckoos Nest,2,American Beauty,One Flew over the Cuckoos Nest,Amadeus,Driving Miss Daisy
What actor was offered a role in the 2001 animated movie Shrek but turned it down?,Robin Williams,3,Ben Stiller,Adam Sandler,Robin Williams,Robert De Niro
What 1970 movie was honored with an Academy Award for Best Picture at the 43rd Academy Awards in 1971?,Patton,1,Patton,Five Easy Pieces,Love Story,Airport
Which sci-fi comedy features a character who renames himself Johnny 5?,Short Circuit,4,Escape to Witch Mountain,RoboCop,"Honey, I Shrunk the Kids",Short Circuit
"In 1997, Elton John released this song as a tribute to this famous person.",Princess Diana,1,Princess Diana,Princess Diadora,Queen Elizabeth,Freddie Mercury
What rapper appeared in the 1997 movie Anaconda as a character named Danny Rich?,Ice Cube,4,Coolio,Tupac Shakur,Dr. Dre,Ice Cube
"It is the second-longest river in the United States. The longest one, Missouri, joins it to form the longest river flow in North America. This river flows through ten states- Minnesota, Wisconsin, Iowa, Illinois, Missouri, Kentucky, Arkansas, Tennessee, Mississippi and Louisiana and mouths into the Gulf of Mexico. I am not going to ask you about its name, but about its source. What is the origin of the Mississippi river?",Lake Itasca,3,Lake Superior,Lake Pepin,Lake Itasca,Cass Lake
"Is Bruce Vito the uncle of professional skateboarder Bam Margera, who is famous as a member of the Jackass crew?",No,1,No,Yes,N/A,N/A
This drummer joined The Red Hot Chili Peppers in 1988.,Chad Smith,1,Chad Smith,Zach Starkey,Earl Palmer,Dr. Chud
What super-continent began to rift apart during the Mesozoic era?,Pangaea,1,Pangaea,Euramerica,Rodinia,None of these
"In the movie Valley Girl, what type of food is mainly eaten during the party at Suzys house?",Sushi,1,Sushi,Desserts,There is no mention of food,Sandwiches
"Cast adrift with his loyal officers, the corpulent Captain swears vengeance and prophetically promises to see Christian hanged by the neck for his actions. Name this historically inaccurate Oscar winner.",Mutiny on the Bounty,3,All Quiet on the Western Front,Ben Hur,Mutiny on the Bounty,The Sea Wolf
"This horror film, based on a Stephen King novel, revolves around a group of people who seek revenge against a ghostly clown.",It,1,It,Misery,The Langoliers,Sometimes They Come Back for More
"The sign in the music shop in Waynes World reads, No Stairway.” The reference, of course, is to Led Zepplins 1971 mega-hit song, Stairway to Heaven.” This song, along with the Eagles Hotel California, is one of the most commonly attempted songs by aspiring pop/rock/blues guitar players. What key is Stairway to Heaven written in?",Am,4,Bm,Cm,Dm,Am
Name the band that performed the 80s rock hit you will hear in the audio.,Poison,4,Warrant,Cinderella,Mamas Boys,Poison
What country did Tony escape from at the beginning of the movie Scarface?,Cuba,1,Cuba,Spain,Puerto Rico,Dominican Republic
"I came here tonight because when you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible. (1989)",When Harry Met Sally,1,When Harry Met Sally,Wuthering Heights,Youve Got Mail,The Mask of Zorro
Jews saw the Crusades as great help and welcomed knights as heroes.,False,1,False,True,N/A,N/A
"Lighthouse, a band that added an amplified violin and viola to the line up, originated in what city?",Toronto,4,Vancouver,New York,San Francisco,Toronto
Is it true that the lyrics Kyrie Eleison in the 80s hit Kyrie by Mr. Mister references an early pre-christian expression?,Yes,1,Yes,No,N/A,N/A
Guillermo del Toro directed both Blade II and Blade Trinity.,False,2,True,False,N/A,N/A
The Filipino word pangalan means name in English. What does the word pangngalan mean?,noun,3,address,adjective,noun,verb
Name he winner of the Academy Award for Best Original Song for 1983.,Flashdance... What a Feeling from Flashdance,4,The Way He Makes Me Feel from Yentl,Maniac from Flashdance,"Papa, Can You Hear Me? from Yentl",Flashdance... What a Feeling from Flashdance
"Of what descent is Drew Barrymores father, John Drew Barrymore?",Irish,3,Danish,Russian,Irish,Jewish
"In this year George Martin, English producer of The Beatles, was born, Fox Film bought the Movietone system for recording sound onto tape, and Joe Paterno, longtime coach of Pennsylvania State Universitys college football team was born.",1926,1,1926,1929,1923,1927
Who directed and starred in the 1993 drama movie The Man Without a Face?,Mel Gibson,3,Tom Hanks,John Travolta,Mel Gibson,Nicolas Cage
What villain did Captain America and Bucky fight in the very first issue of Captain America Comics?,Red Skull,2,Viper,Red Skull,Baron Zemo,Just Nazi soldiers
This singer had to wait fifteen plus years to have consecutive #1 hits with Give Me Love (Give Me Peace on Earth) and Got My Mind Set on You.,George Harrison,4,Ringo Starr,Paul McCartney,Billy Joel,George Harrison
"In the scene of the movie A Cinderella Story where Austin, Shelby, and all their friends come into the diner for a pre-dance meal, Sam is asked to serve them. When she comes back with their order, Austin is the only one left. Even though the gang didnt eat, Austin offers to pay Sam anyway.",True,2,False,True,N/A,N/A
"In the scene in The African Queen where Charlie was pulling The Queen through the overgrowth, Huston used real leeches in the water without telling Bogart, so his revulsion would be real.",True,1,True,False,N/A,N/A
"This bagged vegetable was recalled on September 16, 2006 after E. coli affected people in 19 U. S. states.",Spinach,2,Celery,Spinach,Carrots,Lettuce
This female group from the 1990s had a #1 hit in the U.S. with Youre in Love.,Wilson Phillips,2,The Divinyls,Wilson Phillips,SWV,En Vogue
"This bass guitarist left King Crimson in 1973 and became a founding member of British rock band, Bad Company.",Boz Burrell,4,Mel Collins,John Wtton,Greg Lake,Boz Burrell
What is the name of Lauryn Hills firstborn son?,Zion,1,Zion,Jesus,Moses,Joshua
What fake product is Rapunzel revealed to wear in the movie Shrek the Third?,Fake hair,2,Fake eyelashes,Fake hair,Color contacts,Fake nails
What are the colors of Supermans costume?,"red, blue, yellow",1,"red, blue, yellow","grey, black, blue","red, purple, yellow","green, red, blue"
What character did actor Liam Neeson voice in the 2008 movie The Chronicles of Narnia: Prince Caspian?,The lion Aslan,1,The lion Aslan,Trumpkin the dwarf,Asterius the Minotaur,Bulgy Bear
In what country was the movie Zodiac filmed?,USA,2,Australia,USA,New Zealand,Canada
"In the movie Miracle, the U.S. team beat the second ranked team in the world. Which nation was this?",Czechoslovakia,1,Czechoslovakia,Romania,Russia,Sweden
What 1991 movie was the winner of the Academy Award for Best Picture at the 64th Academy Awards in 1992?,The Silence of the Lambs,2,The Prince of Tides,The Silence of the Lambs,Beauty and the Beast,JFK
Which of the following did not sing a song titled Clementine?,John Lister,4,Mark Owen,The Decemberists,Elliot Smith,John Lister
What type of actors did director James Cameron intend to cast for the 1986 science fiction movie Aliens?,Actors with American accents,4,Actors with unusual face features,African American actors,Tall actors,Actors with American accents
"In 1975, who wrote the hit show The Wiz?",Charles Smalls,2,Alan Menken,Charles Smalls,Andrew Llyod Weber,Elton John and Tim Rice
"What is the title of Celine Dions autobiographical book, published in 2001?","My Story, My Dream",2,"My Life, My Love","My Story, My Dream","My Way, My Heart","My Book, My Confessions"
"Who recorded the album Legend, ranked #46 on Rolling Stone magazines list of greatest albums of all time?",Bob Marley and the Wailers,4,The Band,U2,America,Bob Marley and the Wailers
Matchbox 20 performed the song Girl Like That.,True,2,False,True,N/A,N/A
"What RB and soul singer, best known for her hits in the 1970s, performed the single, Right Back Where We Started From in 1975?",Maxine Nightingale,1,Maxine Nightingale,Natalie Cole,Crystal Gayle,Diana Ross
"What popular movie director initially negotiated the offer to direct the 2001 movie Harry Potter and the Philosophers Stone, but eventually turned it down?",Steven Spielberg,4,George Lucas,Robert Zemeckis,Luc Besson,Steven Spielberg
"In 1799, Napoleon began his campaign to conquer the Ottoman Empire, but was eventually defeated at this city.",Acco,2,Alexandria,Acco,Bagdhad,Istanbul
What song did English rock band The Who release in 1971?,Behind Blue Eyes,3,Behind Green Eyes,Behind Brown Eyes,Behind Blue Eyes,Behind Gray Eyes
In what year did George Strait release the song The Chair?,1985,1,1985,1987,1986,1988
On 26 March 2009 Joss Stone appeared on American Idol and performed a duet with this Motown artist.,Smokey Robinson,3,James Brown,none of these,Smokey Robinson,Steve Wonder
Approximately what age are the oldest known fossils?,3.8 billion years old,4,4.5 billion years old,2.5 billion years old,540 million years old,3.8 billion years old
The band Lostprophets performed at Ozzfest in 2001.,False,1,False,True,N/A,N/A
"This hip-hop artist has been an Army soldier, thief, pimp, and successful actor.  One of his biggest hits was for the 1988 film, Colors.",Ice-T,1,Ice-T,Warren G,Kool Moe Dee,Biz Markie
What was Dorothys surname in the 1939 classic The Wizard of Oz?,Gale,2,Hill,Gale,Dale,Baxter
Who recorded Heard it in a Love Song in 1977?,The Marshall Tucker Band,1,The Marshall Tucker Band,ZZ Top,Allman Brothers Band,Black Crowes
The Independence State is one of the nicknames of this U.S. state.,Pennsylvania,3,Virginia,New Hampshire,Pennsylvania,West Virginia
What was the original name for the group?,Earth,2,Tombstone,Earth,Witches and Warlocks,War Pigs
Who plays the main character Ben Campbell in the 2008 movie 21?,Jim Sturgess,3,Mike Osmosis,P.J. Lons,Jim Sturgess,Walter Cooper
In which country is the European Union’s biggest lake located?,In Sweden,3,In Finland,In Poland,In Sweden,In Hungary
"In the parody Epic Movie, which character comes from the movie Snakes on a Plane?",Susan,4,Peter,Rachel,Edwardo,Susan
This female singer had a #1 song in 1987 with a remake of The Supremes 1966 hit You Keep Me Hangin On.,Kim Wilde,1,Kim Wilde,Annie Lennox,Kylie Minogue,Tiffany
The citizens of which country rejected the idea of joining the EU in 1972 and again in 1994?,Norway,1,Norway,Denmark,Iceland,Finland
The actor who lent his voice to Darth Vader also lent his voice to a character in The Lion King!,True,1,True,False,N/A,N/A
Which of the following organizations is Luxembourg a member of?,All of these,4,OECD,United Nations,European Union,All of these
"Children, and many adults too, were happy when the first Disneyland opened in California in this year.",1955,2,1949,1955,1967,1962
